label	Group	OTU	abundance
0.285000	X102623_UM1849B_ANG18_70_1_5034	OTU1	977464.720000
0.285000	X102623_UM1850B_ANGDT_71_1_5033	OTU1	54990.810000
0.285000	X102623_UM1848B_JC1_69_1_5030	OTU1	263224.680000
0.285000	X102623_UM1852B_Coculture_72_1_5035	OTU1	70580.750000
0.285000	X102623_UM1852B_Coculture_72_1_5022	OTU1	66945.650000
0.285000	X102623_UM1849B_ANG18_70_1_5021	OTU1	1111138.510000
0.285000	X102623_UM1850B_ANGDT_71_1_5020	OTU1	50282.770000
0.285000	X102623_UM1847B_JC28_68_1_5019	OTU1	236839.460000
0.285000	X102623_UM1848B_JC1_69_1_5017	OTU1	341544.870000
0.285000	X102623_UM1852B_Coculture_72_1_5009	OTU1	70729.220000
0.285000	X102623_UM1849B_ANG18_70_1_5008	OTU1	1153957.810000
0.285000	X102623_UM1846B_Media_67_1_5018	OTU1	946816.410000
0.285000	X102623_UM1848B_JC1_69_1_5004	OTU1	351526.310000
0.285000	X102623_UM1847B_JC28_68_1_5006	OTU1	239756.440000
0.285000	X102623_UM1847B_JC28_68_1_5032	OTU1	233750.850000
0.285000	X102623_UM1846B_Media_67_1_5005	OTU1	988997.290000
0.285000	X102623_UM1846B_Media_67_1_5031	OTU1	1014949.880000
0.285000	X102623_UM1850B_ANGDT_71_1_5007	OTU1	51403.530000
0.285000	X102623_UM1849B_ANG18_70_1_5034	OTU2	533222.070000
0.285000	X102623_UM1850B_ANGDT_71_1_5033	OTU2	93771.320000
0.285000	X102623_UM1848B_JC1_69_1_5030	OTU2	298431.920000
0.285000	X102623_UM1852B_Coculture_72_1_5035	OTU2	157203.690000
0.285000	X102623_UM1852B_Coculture_72_1_5022	OTU2	155644.980000
0.285000	X102623_UM1849B_ANG18_70_1_5021	OTU2	547979.040000
0.285000	X102623_UM1850B_ANGDT_71_1_5020	OTU2	97647.230000
0.285000	X102623_UM1847B_JC28_68_1_5019	OTU2	221915.180000
0.285000	X102623_UM1848B_JC1_69_1_5017	OTU2	291975.520000
0.285000	X102623_UM1852B_Coculture_72_1_5009	OTU2	161628.870000
0.285000	X102623_UM1849B_ANG18_70_1_5008	OTU2	575132.580000
0.285000	X102623_UM1846B_Media_67_1_5018	OTU2	528460.660000
