SCANS,FEATURE_ID,PEPMASS,MS_LEVEL,CHARGE,POLARITY,RTINSECONDS,ION
33,33,768.2463153618688,2,2,+,54.943790435791016,[M+H+H]2+
34,34,759.7384222204819,2,2,+,54.974185943603516,[M+H+H]2+
35,35,147.0764790425684,2,1,+,55.08680725097656,[M+H]+
36,36,976.3366609691607,2,1,+,55.21442794799805,[M+H]+
37,37,931.2472585668954,2,1,+,55.29243087768555,[M+H]+
38,38,526.1518891583071,2,2,+,55.35809326171875,[M+H+H]2+
39,39,768.7441742806774,2,2,+,55.37318801879883,[M+H+H]2+
40,40,724.7283844965184,2,2,+,55.64306640625,[M+H+H]2+
41,41,1100.3406859591362,2,2,+,55.68311309814453,[M+H+H]2+
42,42,788.2233934192413,2,2,+,55.7703742980957,[M+H+H]2+
43,43,850.776592781878,2,1,+,55.773441314697266,[M+H]+
44,44,849.7718266088908,2,2,+,55.78900146484375,[M+H+H]2+
45,45,1019.3143962147901,2,2,+,55.79616928100586,[M+H+H]2+
46,46,958.2948891462769,2,1,+,55.85175323486328,[M+H]+
47,47,1109.8468254412549,2,1,+,56.19162368774414,[M+H]+
48,48,1109.3464839524322,2,2,+,56.34445571899414,[M+H+H]2+
49,49,1028.3199580714097,2,2,+,56.45473861694336,[M+H+H]2+
50,50,542.6423691111811,2,2,+,56.49153518676758,[M+H+H]2+
51,51,940.2994052603187,2,1,+,56.50293731689453,[M+H]+
52,52,687.718385555222,2,2,+,56.55282974243164,[M+H+H]2+
53,53,1118.3522354505396,2,2,+,56.6122932434082,[M+H+H]2+
54,54,316.98747478555043,2,1,+,56.72874450683594,[M+H]+
55,55,710.2123677800661,2,1,+,56.750274658203125,[M+H]+
56,56,1037.3237812694367,2,2,+,56.7523193359375,[M+H+H]2+
57,57,530.1672833238313,2,1,+,56.77388000488281,[M+H]+
58,58,778.2500417417381,2,2,+,56.79541015625,[M+H+H]2+
59,59,793.7313160508224,2,2,+,56.96556854248047,[M+H+H]2+
60,60,956.2986708739528,2,2,+,57.048744201660156,[M+H+H]2+
61,61,606.6910391424543,2,2,+,57.061065673828125,[M+H+H]2+
62,62,499.0678546687485,2,1,+,57.06329345703125,[M+H]+
63,63,706.6987743462438,2,2,+,57.069793701171875,[M+H+H]2+
64,64,947.2934903863367,2,2,+,57.097381591796875,[M+H+H]2+
65,65,795.2255922448203,2,1,+,57.11587905883789,[M+H]+
66,66,796.7267682848772,2,2,+,57.13965606689453,[M+H+H]2+
67,67,930.2919314553731,2,2,+,57.147186279296875,[M+H+H]2+
68,68,623.6694581229345,2,2,+,57.15718078613281,[M+H+H]2+
69,69,787.2405573022552,2,2,+,57.17906188964844,[M+H+H]2+
70,70,678.1313988196677,2,1,+,57.27229690551758,[M+H]+
71,71,883.2660469388917,2,2,+,57.28487777709961,[M+H+H]2+
72,72,793.230150082201,2,2,+,57.285064697265625,[M+H+H]2+
73,73,608.1917966527939,2,1,+,57.3679313659668,[M+H]+
74,74,794.730004615041,2,2,+,57.388702392578125,[M+H+H]2+
75,75,797.2240694378345,2,2,+,57.41035842895508,[M+H+H]2+
76,76,875.271058566894,2,2,+,57.4534797668457,[M+H+H]2+
77,77,712.7076631660167,2,2,+,57.47746658325195,[M+H+H]2+
78,78,938.7924691876328,2,2,+,57.47975540161133,[M+H+H]2+
79,79,624.1958470752554,2,2,+,57.48163986206055,[M+H+H]2+
80,80,713.7009839244907,2,2,+,57.48942565917969,[M+H+H]2+
81,81,796.2269359030846,2,2,+,57.49298858642578,[M+H+H]2+
82,82,714.2007447263201,2,2,+,57.5418701171875,[M+H+H]2+
83,83,697.2222447316559,2,2,+,57.55282974243164,[M+H+H]2+
84,84,794.2305927985407,2,2,+,57.593658447265625,[M+H+H]2+
85,85,956.79902712841,2,1,+,57.65926742553711,[M+H]+
86,86,715.2037935696555,2,2,+,57.683712005615234,[M+H+H]2+
87,87,713.2039099114269,2,2,+,57.84641647338867,[M+H+H]2+
88,88,524.651948277658,2,2,+,57.85297775268555,[M+H+H]2+
89,89,535.1548352230457,2,2,+,57.88549041748047,[M+H+H]2+
90,90,118.92022580321071,2,1,+,58.04362487792969,[M+H]+
91,91,436.2407597020591,2,1,+,58.084205627441406,[M+H]+
92,92,900.2050581678716,2,1,+,58.27888488769531,[M+H]+
93,93,716.1986676300095,2,2,+,58.3047981262207,[M+H+H]2+
94,94,687.2161206234232,2,2,+,58.3994140625,[M+H+H]2+
95,95,542.1438019455684,2,2,+,58.42595291137695,[M+H+H]2+
96,96,765.2073954079356,2,1,+,58.44995880126953,[M+H]+
97,97,456.0559692019027,2,1,+,58.8568115234375,[M+H]+
98,98,623.172865031371,2,2,+,58.87861251831055,[M+H+H]2+
99,99,716.2614586767164,2,1,+,58.97121047973633,[M+H]+
100,100,851.2625042926206,2,2,+,59.05377960205078,[M+H+H]2+
101,101,395.11702048857467,2,1,+,59.131752014160156,[M+H]+
102,102,562.085229087466,2,1,+,59.273006439208984,[M+H]+
103,103,366.1086875936667,2,1,+,59.52180862426758,[M+H]+
104,104,335.0952037417032,2,1,+,59.56038284301758,[M+H]+
105,105,680.2033134935275,2,2,+,59.6140022277832,[M+H+H]2+
106,106,761.2309385630646,2,2,+,59.6861686706543,[M+H+H]2+
107,107,921.2147804845608,2,1,+,60.15098190307617,[M+H]+
108,108,422.16601403030023,2,1,+,60.28316879272461,[M+H]+
109,109,433.1268001388532,2,1,+,60.61759567260742,[M+H]+
110,110,590.1724224324946,2,2,+,60.695228576660156,[M+H+H]2+
111,111,671.1993945032114,2,2,+,61.0063362121582,[M+H+H]2+
112,112,506.1397928447019,2,2,+,63.24150085449219,[M+H+H]2+
113,113,342.05459617841996,2,1,+,78.31724548339844,[M+H]+
114,114,507.6493718635644,2,2,+,82.91099548339844,[M+H+H]2+
115,115,498.6408714671164,2,2,+,82.92189025878906,[M+H+H]2+
116,116,507.05295835214537,2,1,+,82.93448638916016,[M+H]+
117,117,510.304201770264,2,1,+,82.94141387939453,[M+H]+
118,118,484.1173415016465,2,1,+,83.07067108154297,[M+H]+
119,119,588.674563868849,2,2,+,83.15679168701172,[M+H+H]2+
120,120,772.1836638485654,2,1,+,83.3543930053711,[M+H]+
121,121,612.0752931450297,2,1,+,83.41512298583984,[M+H]+
122,122,498.0625230179756,2,1,+,83.94316864013672,[M+H]+
123,123,136.0619665850472,2,1,+,84.87007904052734,[M+H]+
124,124,476.15229793956433,2,2,+,86.43892669677734,[M+H+H]2+
125,125,557.1796067645598,2,2,+,86.8613510131836,[M+H+H]2+
126,126,485.10027037143345,2,1,+,91.357666015625,[M+H]+
127,127,670.0911499755391,2,1,+,92.58777618408203,[M+H]+
128,128,135.0302018949259,2,1,+,92.763916015625,[M+H]+
129,129,626.2978497105973,2,1,+,93.17072296142578,[M+H]+
130,130,446.15282474468717,2,1,+,93.18930053710938,[M+H]+
131,131,635.2998115733382,2,1,+,93.27566528320312,[M+H]+
132,132,455.09029023296,2,1,+,93.67510986328125,[M+H]+
133,133,549.2263628106255,2,1,+,93.79627227783203,[M+H]+
134,134,288.1919402595125,2,1,+,94.12923431396484,[M+H]+
135,135,592.2098067579311,2,1,+,94.35940551757812,[M+H]+
136,136,497.081363081931,2,1,+,97.23339080810547,[M+H]+
137,137,195.11275570538373,2,1,+,97.9613265991211,[M+H]+
138,138,574.234395817429,2,1,+,99.65762329101562,[M+H]+
139,139,639.1922229015724,2,1,+,99.98453521728516,[M+H]+
140,140,433.16354518642305,2,1,+,100.03694915771484,[M+H]+
141,141,355.1651972654825,2,1,+,100.55635070800781,[M+H]+
142,142,521.2824195150312,2,1,+,101.4747543334961,[M+H]+
143,143,506.1400860268844,2,2,+,101.58341217041016,[M+H+H]2+
144,144,356.2180197665531,2,1,+,108.50311279296875,[M+H]+
145,145,515.1421072741957,2,1,+,108.50463104248047,[M+H]+
146,146,373.24457188466056,2,1,+,108.6166000366211,[M+H]+
147,147,345.2023391653842,2,1,+,108.97664642333984,[M+H]+
148,148,590.1239569604026,2,1,+,111.85543823242188,[M+H]+
149,149,533.1549675997011,2,2,+,112.75985717773438,[M+H+H]2+
150,150,691.1905614055787,2,1,+,115.53143310546875,[M+H]+
151,151,767.2273796450291,2,2,+,117.1419448852539,[M+H+H]2+
152,152,614.1821286794464,2,2,+,117.67964935302734,[M+H+H]2+
153,153,417.2100553525518,2,1,+,118.94161987304688,[M+H]+
154,154,414.6516311726337,2,1,+,124.88482666015625,[M+H]+
155,155,574.1298601694682,2,1,+,127.39340209960938,[M+H]+
156,156,349.0101473116712,2,1,+,129.5622100830078,[M+H]+
157,157,430.1570023861412,2,1,+,133.61209106445312,[M+H]+
158,158,538.1728350013732,2,1,+,133.73944091796875,[M+H]+
159,159,509.2185408137396,2,1,+,137.4669952392578,[M+H]+
160,160,383.2036716538244,2,1,+,138.22056579589844,[M+H]+
161,161,396.21316566335366,2,1,+,140.13690185546875,[M+H]+
162,162,429.02051935864534,2,1,+,140.9216766357422,[M+H]+
163,163,411.26041563408063,2,1,+,141.10853576660156,[M+H]+
164,164,366.2026504706087,2,1,+,141.74266052246094,[M+H]+
165,165,409.19720084346886,2,1,+,146.09732055664062,[M+H]+
166,166,481.2378355780579,2,1,+,149.8681640625,[M+H]+
167,167,652.2448995616892,2,1,+,149.8753204345703,[M+H]+
168,168,407.2291237255545,2,1,+,149.99990844726562,[M+H]+
169,169,310.17647135146524,2,1,+,150.95867919921875,[M+H]+
170,170,373.24502126110764,2,1,+,152.21746826171875,[M+H]+
171,171,365.1794195658162,2,1,+,153.67308044433594,[M+H]+
172,172,499.20739094945367,2,1,+,153.88491821289062,[M+H]+
173,173,386.1534347807571,2,1,+,153.99171447753906,[M+H]+
174,174,354.11565162527995,2,1,+,156.9998779296875,[M+H]+
175,175,771.3045144239444,2,1,+,158.0867462158203,[M+H]+
176,176,384.11521322494474,2,1,+,160.11892700195312,[M+H]+
177,177,188.05645722414022,2,1,+,160.1463623046875,[M+H]+
178,178,162.07740390806543,2,1,+,160.1671600341797,[M+H]+
179,179,252.07291527564317,2,1,+,160.2144317626953,[M+H]+
180,180,538.1916957861562,2,1,+,160.6708984375,[M+H]+
181,181,451.1841884912019,2,1,+,160.68910217285156,[M+H]+
182,182,657.2667536146154,2,1,+,160.76251220703125,[M+H]+
183,183,411.04984786661515,2,1,+,160.9014129638672,[M+H]+
184,184,577.1103452575073,2,1,+,160.9017333984375,[M+H]+
185,185,570.1425485228121,2,1,+,161.12371826171875,[M+H]+
186,186,398.14337519771595,2,1,+,161.28334045410156,[M+H]+
187,187,477.30348901698045,2,1,+,161.96531677246094,[M+H]+
188,188,311.1604168851609,2,1,+,163.14842224121094,[M+H]+
189,189,387.27193770888834,2,1,+,163.3600311279297,[M+H]+
190,190,504.2818016954563,2,1,+,165.8072967529297,[M+H]+
191,191,288.1228621198833,2,1,+,167.4736328125,[M+H]+
192,192,355.18617195719094,2,1,+,167.50164794921875,[M+H]+
193,193,494.92054442680137,2,23,+,170.911865234375,[M+H+H2]3+
194,194,495.2541198197733,2,1,+,172.166748046875,[M+H]+
195,195,506.74885653962235,2,2,+,172.6645965576172,[M+H+H]2+
196,196,395.14969954969325,2,2,+,173.06179809570312,[M+H+H]2+
197,197,436.2075418055231,2,1,+,173.48486328125,[M+H]+
198,198,415.30294678822173,2,1,+,173.51597595214844,[M+H]+
199,199,457.2214301872063,2,1,+,173.79168701171875,[M+H]+
200,200,411.2279508941125,2,1,+,174.0777587890625,[M+H]+
201,201,343.1878873968961,2,1,+,175.3884735107422,[M+H]+
202,202,362.01675111443114,2,1,+,175.56504821777344,[M+H]+
203,203,529.2031847577633,2,1,+,175.61378479003906,[M+H]+
204,204,360.01895337011297,2,1,+,175.95013427734375,[M+H]+
205,205,448.20755666200654,2,1,+,176.0947265625,[M+H]+
206,206,380.2185833046946,2,1,+,176.6050567626953,[M+H]+
207,207,427.24405630908416,2,1,+,176.675048828125,[M+H]+
208,208,569.2706831176162,2,1,+,177.1382598876953,[M+H]+
209,209,434.26488878358447,2,1,+,177.21119689941406,[M+H]+
210,210,614.7992682409773,2,2,+,177.4705810546875,[M+H+H]2+
211,211,378.645577989959,2,2,+,177.73086547851562,[M+H+H]2+
212,212,658.3255488890467,2,2,+,177.98483276367188,[M+H+H]2+
213,213,442.7477503134708,2,2,+,178.03355407714844,[M+H+H]2+
214,214,575.7844187496307,2,2,+,178.1087646484375,[M+H+H]2+
215,215,506.2977793463024,2,1,+,178.3606414794922,[M+H]+
216,216,455.25026098708213,2,1,+,178.6473846435547,[M+H]+
217,217,493.1942547816232,2,1,+,178.80735778808594,[M+H]+
218,218,350.13583868201397,2,1,+,178.87921142578125,[M+H]+
219,219,619.1138088924284,2,1,+,179.09193420410156,[M+H]+
220,220,306.1461331915054,2,1,+,179.0921630859375,[M+H]+
221,221,375.61926945583986,2,1,+,179.1280975341797,[M+H]+
222,222,398.6103799861171,2,2,+,179.17884826660156,[M+H+H]2+
223,223,451.86807255218616,2,1,+,179.2676544189453,[M+H]+
224,224,382.6357416007765,2,2,+,179.44654846191406,[M+H+H]2+
225,225,383.631257943784,2,2,+,179.58721923828125,[M+H+H]2+
226,226,409.116823363252,2,2,+,182.13412475585938,[M+H+H]2+
227,227,480.24401288442743,2,2,+,182.77418518066406,[M+H+H]2+
228,228,602.3146581058967,2,1,+,183.5199737548828,[M+H]+
229,229,306.1126057175548,2,1,+,183.89208984375,[M+H]+
230,230,441.69894926903754,2,2,+,184.05117797851562,[M+H+H]2+
231,231,531.7476140912007,2,2,+,184.69972229003906,[M+H+H]2+
232,232,748.2814295413642,2,1,+,185.02191162109375,[M+H]+
233,233,136.06140087162737,2,1,+,185.66282653808594,[M+H]+
234,234,501.3150268553927,2,1,+,186.4698944091797,[M+H]+
235,235,465.2233159958567,2,1,+,186.72557067871094,[M+H]+
236,236,414.20275055700796,2,1,+,188.0570068359375,[M+H]+
237,237,606.2807701128364,2,1,+,188.75009155273438,[M+H]+
238,238,579.302627274479,2,2,+,189.1460723876953,[M+H+H]2+
239,239,465.2535580922542,2,1,+,189.6396026611328,[M+H]+
240,240,493.1821146709673,2,1,+,189.6636199951172,[M+H]+
241,241,401.28700805404395,2,1,+,190.7195281982422,[M+H]+
242,242,475.21873176890995,2,1,+,191.33053588867188,[M+H]+
243,243,545.2891249137992,2,2,+,191.56126403808594,[M+H+H]2+
244,244,364.11418120588195,2,1,+,192.36045837402344,[M+H]+
245,245,331.12884471715955,2,1,+,193.67970275878906,[M+H]+
246,246,305.1573055745242,2,1,+,195.54270935058594,[M+H]+
247,247,364.13645264832945,2,1,+,195.7953338623047,[M+H]+
248,248,520.7496711643297,2,2,+,195.8155517578125,[M+H+H]2+
249,249,533.2250942465233,2,1,+,196.0010223388672,[M+H]+
250,250,538.1726118487622,2,1,+,196.2496337890625,[M+H]+
251,251,509.2189961053611,2,1,+,196.3560333251953,[M+H]+
252,252,579.325494678806,2,1,+,196.89891052246094,[M+H]+
253,253,441.06245633251297,2,1,+,196.99566650390625,[M+H]+
254,254,466.2072725810026,2,1,+,197.5053253173828,[M+H]+
255,255,600.2672581555629,2,1,+,197.5904541015625,[M+H]+
256,256,385.10732288178974,2,2,+,197.8924560546875,[M+H+H]2+
257,257,518.1751048144166,2,2,+,198.03509521484375,[M+H+H]2+
258,258,346.0981740054061,2,2,+,198.07533264160156,[M+H+H]2+
259,259,383.1179073911835,2,2,+,198.1831817626953,[M+H+H]2+
260,260,384.11235458352644,2,1,+,198.36270141601562,[M+H]+
261,261,544.1629221016176,2,1,+,198.4370574951172,[M+H]+
262,262,354.0882225381727,2,2,+,198.5217742919922,[M+H+H]2+
263,263,391.1065209206636,2,2,+,198.54920959472656,[M+H+H]2+
264,264,363.09348619787596,2,2,+,198.7226104736328,[M+H+H]2+
265,265,845.2214954126299,2,1,+,198.82696533203125,[M+H]+
266,266,345.0824155113884,2,2,+,198.93408203125,[M+H+H]2+
267,267,777.2345596554931,2,1,+,198.9730987548828,[M+H]+
268,268,580.8260216008458,2,2,+,200.22679138183594,[M+H+H]2+
269,269,464.24437494072083,2,1,+,200.6107177734375,[M+H]+
270,270,823.1843134095178,2,1,+,201.74356079101562,[M+H]+
271,271,827.1852510350127,2,1,+,201.82577514648438,[M+H]+
272,272,520.2805732508297,2,1,+,202.58872985839844,[M+H]+
273,273,487.26998930230195,2,2,+,204.00149536132812,[M+H+H]2+
274,274,398.19251965332023,2,1,+,204.0961151123047,[M+H]+
275,275,570.2650725415234,2,1,+,204.138916015625,[M+H]+
276,276,537.2561420128253,2,1,+,204.2832489013672,[M+H]+
277,277,345.213380890731,2,1,+,204.4680938720703,[M+H]+
278,278,299.0705694188842,2,1,+,204.7574005126953,[M+H]+
279,279,406.5992826177794,2,2,+,206.62709045410156,[M+H+H]2+
280,280,573.1148823900139,2,1,+,207.0857696533203,[M+H]+
281,281,453.12154377695833,2,2,+,209.1824188232422,[M+H+H]2+
282,282,466.26342028051914,2,1,+,209.28961181640625,[M+H]+
283,283,563.2906724370854,2,2,+,209.58758544921875,[M+H+H]2+
284,284,524.2146526392999,2,1,+,209.9774169921875,[M+H]+
285,285,580.2622200260997,2,1,+,210.1219482421875,[M+H]+
286,286,726.2831140408125,2,1,+,210.1756591796875,[M+H]+
287,287,584.1703738889364,2,1,+,210.1898193359375,[M+H]+
288,288,494.26108358600635,2,1,+,210.4646759033203,[M+H]+
289,289,336.1526827429717,2,1,+,210.9522705078125,[M+H]+
290,290,552.1980295412002,2,1,+,211.03652954101562,[M+H]+
291,291,152.0620211852647,2,1,+,211.2122039794922,[M+H]+
292,292,649.2872309953356,2,1,+,211.21234130859375,[M+H]+
293,293,609.1434319373985,2,1,+,211.31910705566406,[M+H]+
294,294,572.1472559418814,2,1,+,211.4268035888672,[M+H]+
295,295,363.162717782606,2,1,+,211.5228729248047,[M+H]+
296,296,128.06192240798416,2,1,+,211.53257751464844,[M+H]+
297,297,529.2013333566836,2,2,+,211.6397247314453,[M+H+H]2+
298,298,451.1522834286168,2,1,+,211.66387939453125,[M+H]+
299,299,573.1430512926929,2,1,+,211.9137725830078,[M+H]+
300,300,127.05390110395686,2,1,+,212.53955078125,[M+H]+
301,301,130.04991681333192,2,1,+,213.3805694580078,[M+H]+
302,302,189.12341319966788,2,1,+,213.3809051513672,[M+H]+
303,303,502.28734316674627,2,1,+,213.5547637939453,[M+H]+
304,304,408.22489790349186,2,1,+,214.0154266357422,[M+H]+
305,305,400.18689595515974,2,1,+,214.35772705078125,[M+H]+
306,306,456.2062444768521,2,1,+,214.6136932373047,[M+H]+
307,307,564.2298779150984,2,1,+,215.45248413085938,[M+H]+
308,308,304.2230220320392,2,1,+,217.72080993652344,[M+H]+
309,309,680.1797387793254,2,1,+,217.933349609375,[M+H]+
310,310,767.2563701780053,2,1,+,219.43145751953125,[M+H]+
311,311,391.1574648412632,2,1,+,219.519775390625,[M+H]+
312,312,409.1172424297509,2,2,+,220.17677307128906,[M+H+H]2+
313,313,388.13282999553434,2,2,+,220.71261596679688,[M+H+H]2+
314,314,393.16561606781335,2,1,+,220.7229766845703,[M+H]+
315,315,389.14608219936207,2,2,+,220.81683349609375,[M+H+H]2+
316,316,423.5928369393538,2,2,+,220.83999633789062,[M+H+H]2+
317,317,376.18278609378166,2,1,+,220.9229278564453,[M+H]+
318,318,548.2675174036933,2,1,+,221.0301055908203,[M+H]+
319,319,337.12701981338756,2,2,+,221.0367431640625,[M+H+H]2+
320,320,424.17832243408316,2,1,+,221.20228576660156,[M+H]+
321,321,549.2195118845226,2,1,+,221.4663543701172,[M+H]+
322,322,289.1504659191241,2,1,+,221.80059814453125,[M+H]+
323,323,567.3262502358376,2,1,+,221.8219451904297,[M+H]+
324,324,644.2016751474134,2,1,+,221.9287872314453,[M+H]+
325,325,524.8120713066253,2,2,+,222.1105499267578,[M+H+H]2+
326,326,559.2047336069968,2,2,+,222.31556701660156,[M+H+H]2+
327,327,676.1753134746538,2,1,+,222.4361572265625,[M+H]+
328,328,363.08670931787697,2,1,+,222.63763427734375,[M+H]+
329,329,495.23856632114484,2,2,+,222.6622314453125,[M+H+H]2+
330,330,409.0917119259175,2,1,+,222.8523712158203,[M+H]+
331,331,461.0556166013481,2,1,+,222.85260009765625,[M+H]+
332,332,303.0652098330201,2,1,+,222.9579315185547,[M+H]+
333,333,191.0813332611144,2,1,+,223.0000762939453,[M+H]+
334,334,576.0908561767718,2,1,+,223.27114868164062,[M+H]+
335,335,243.04437991177846,2,1,+,223.4950408935547,[M+H]+
336,336,376.1755297177727,2,1,+,223.5961456298828,[M+H]+
337,337,392.1817380099584,2,1,+,223.98272705078125,[M+H]+
338,338,525.1987075710696,2,1,+,224.6553955078125,[M+H]+
339,339,362.2417199083888,2,1,+,224.7635040283203,[M+H]+
340,340,597.3611424600433,2,1,+,225.68663024902344,[M+H]+
341,341,308.1033295591644,2,1,+,226.07809448242188,[M+H]+
342,342,569.3188472634129,2,2,+,226.31871032714844,[M+H+H]2+
343,343,590.2434138496712,2,1,+,226.3561553955078,[M+H]+
344,344,562.3238043580945,2,1,+,226.5071258544922,[M+H]+
345,345,262.0975768497382,2,1,+,226.6623077392578,[M+H]+
346,346,491.28628167457754,2,1,+,226.89694213867188,[M+H]+
347,347,628.1278319832178,2,1,+,227.16673278808594,[M+H]+
348,348,496.31324569882923,2,1,+,227.19845581054688,[M+H]+
349,349,416.1528516422774,2,1,+,228.06373596191406,[M+H]+
350,350,633.2677543554736,2,1,+,228.5117950439453,[M+H]+
351,351,442.2433479874052,2,1,+,228.72373962402344,[M+H]+
352,352,567.350736381274,2,1,+,229.1033172607422,[M+H]+
353,353,322.1441946547919,2,1,+,229.6795196533203,[M+H]+
354,354,589.3691402567391,2,1,+,229.8924102783203,[M+H]+
355,355,623.3527821789716,2,1,+,230.2118682861328,[M+H]+
356,356,451.2149969616916,2,1,+,230.75326538085938,[M+H]+
357,357,644.3870293428477,2,1,+,232.4944610595703,[M+H]+
358,358,409.27889161500167,2,1,+,233.8817596435547,[M+H]+
359,359,760.2051466180174,2,1,+,234.3080291748047,[M+H]+
360,360,346.23339625029206,2,1,+,235.29518127441406,[M+H]+
361,361,395.1790183314649,2,1,+,235.8558807373047,[M+H]+
362,362,218.0491174856486,2,1,+,236.1194305419922,[M+H]+
363,363,348.0065805379404,2,1,+,236.11944580078125,[M+H]+
364,364,397.1440531330811,2,1,+,236.3328399658203,[M+H]+
365,365,586.3201413361031,2,1,+,236.4700927734375,[M+H]+
366,366,488.27199880099704,2,1,+,236.88528442382812,[M+H]+
367,367,457.2662745500412,2,1,+,237.27503967285156,[M+H]+
368,368,514.3713477123302,2,1,+,237.5341339111328,[M+H]+
369,369,441.2019795908563,2,1,+,237.85206604003906,[M+H]+
370,370,495.24172490984074,2,1,+,238.6094207763672,[M+H]+
371,371,490.285378507198,2,1,+,238.78379821777344,[M+H]+
372,372,618.1758749932204,2,1,+,239.1288604736328,[M+H]+
373,373,406.1977773783571,2,1,+,239.2345428466797,[M+H]+
374,374,542.1993395669732,2,1,+,239.5464630126953,[M+H]+
375,375,490.19371968319115,2,1,+,239.55332946777344,[M+H]+
376,376,393.13970503860264,2,1,+,239.6434326171875,[M+H]+
377,377,592.2615615476454,2,1,+,239.8740692138672,[M+H]+
378,378,482.26584873234856,2,1,+,240.07789611816406,[M+H]+
379,379,493.2067220648001,2,23,+,240.55418395996094,[M+H+H2]3+
380,380,456.2276813647076,2,1,+,240.61231994628906,[M+H]+
381,381,720.3332543013443,2,2,+,240.9794921875,[M+H+H]2+
382,382,520.3328940890156,2,1,+,241.4227752685547,[M+H]+
383,383,644.3616606803274,2,1,+,243.10374450683594,[M+H]+
384,384,547.2880197741415,2,1,+,243.62326049804688,[M+H]+
385,385,767.2912072367052,2,1,+,244.59320068359375,[M+H]+
386,386,515.3606691011145,2,1,+,244.66748046875,[M+H]+
387,387,612.276756134963,2,1,+,244.6678466796875,[M+H]+
388,388,401.28752216627487,2,1,+,244.77442932128906,[M+H]+
389,389,374.2441759173307,2,1,+,244.7744598388672,[M+H]+
390,390,403.12266517133276,2,2,+,244.78131103515625,[M+H+H]2+
391,391,689.4711491031679,2,1,+,244.81903076171875,[M+H]+
392,392,774.2208275809717,2,1,+,244.86859130859375,[M+H]+
393,393,364.211876184061,2,1,+,245.12313842773438,[M+H]+
394,394,559.3454932996685,2,1,+,245.1321563720703,[M+H]+
395,395,356.15833765195754,2,1,+,245.15765380859375,[M+H]+
396,396,534.3120696665068,2,1,+,245.59056091308594,[M+H]+
397,397,539.2673618195813,2,1,+,245.6928253173828,[M+H]+
398,398,396.07140971243416,2,1,+,245.92604064941406,[M+H]+
399,399,541.2333418444188,2,1,+,246.3777313232422,[M+H]+
400,400,426.2237572604907,2,1,+,246.6307830810547,[M+H]+
401,401,698.2057993307011,2,1,+,246.791259765625,[M+H]+
402,402,528.387827604709,2,1,+,247.5515899658203,[M+H]+
403,403,564.3592703294984,2,1,+,247.6349334716797,[M+H]+
404,404,716.3404832191444,2,1,+,248.33636474609375,[M+H]+
405,405,456.0999845319743,2,1,+,249.17340087890625,[M+H]+
406,406,479.1373090104705,2,2,+,249.1736297607422,[M+H+H]2+
407,407,559.0813837739764,2,1,+,249.17388916015625,[M+H]+
408,408,440.2643962974428,2,1,+,249.29335021972656,[M+H]+
409,409,596.081719149231,2,1,+,249.29696655273438,[M+H]+
410,410,484.2548244712155,2,1,+,251.4715576171875,[M+H]+
