SCANS,FEATURE_ID,PEPMASS,MS_LEVEL,CHARGE,POLARITY,RTINSECONDS,ION
0,0,610.1842376458064,2,1,+,3.4021639823913574,[M+H]+
1,1,356.07154874822345,2,1,+,3.7283167839050293,[M+H]+
2,2,356.90960491278327,2,1,+,14.466339111328125,[M+H]+
3,3,485.84295582024095,2,1,+,20.77293586730957,[M+H]+
4,4,614.2995265382602,2,1,+,43.30986404418945,[M+H]+
5,5,672.7791616453902,2,1,+,43.62228775024414,[M+H]+
6,6,439.2149944151745,2,1,+,43.9484748840332,[M+H]+
7,7,740.7081249309846,2,1,+,44.1695442199707,[M+H]+
8,8,434.7942155331982,2,1,+,44.26959991455078,[M+H]+
9,9,491.82338215782113,2,1,+,44.74635314941406,[M+H]+
10,10,537.2949649307853,2,1,+,44.80551528930664,[M+H]+
11,11,471.21932659650093,2,1,+,47.85519790649414,[M+H]+
12,12,433.6270280855611,2,2,+,48.29872512817383,[M+H+H]2+
13,13,513.6454732328494,2,2,+,48.63926696777344,[M+H+H]2+
14,14,705.1330373424564,2,1,+,49.107810974121094,[M+H]+
15,15,588.1458068886976,2,1,+,49.1414680480957,[M+H]+
16,16,533.6290021743355,2,2,+,49.60184860229492,[M+H+H]2+
17,17,466.80254313296945,2,1,+,49.82368469238281,[M+H]+
18,18,631.11433390874,2,1,+,51.26902389526367,[M+H]+
19,19,333.1663494632028,2,1,+,52.20663070678711,[M+H]+
20,20,363.17657428879164,2,1,+,52.63240051269531,[M+H]+
21,21,535.6584620936317,2,2,+,52.89900588989258,[M+H+H]2+
22,22,468.1031157413494,2,1,+,53.5012092590332,[M+H]+
23,23,673.0824893953334,2,1,+,53.679786682128906,[M+H]+
24,24,724.2731615588159,2,1,+,53.91169357299805,[M+H]+
25,25,678.2118798470904,2,2,+,54.32133483886719,[M+H+H]2+
26,26,758.7276226612189,2,2,+,54.452720642089844,[M+H+H]2+
27,27,694.6936365896389,2,1,+,54.46503829956055,[M+H]+
28,28,772.2722069492673,2,1,+,54.59462356567383,[M+H]+
29,29,929.7843514296584,2,2,+,54.6144905090332,[M+H+H]2+
30,30,929.2828403547926,2,1,+,54.76552963256836,[M+H]+
31,31,580.2071354217335,2,1,+,54.79682922363281,[M+H]+
32,32,1091.3365258295335,2,2,+,54.92138671875,[M+H+H]2+
